Date,Price
04-12-2022,239.95
05-12-2022,239.95
06-12-2022,239.95
07-12-2022,239.95
08-12-2022,239.95
09-12-2022,239.95
10-12-2022,239.95
11-12-2022,239.95
12-12-2022,239.95
13-12-2022,239.95
